turn 1: upper: THROW symbol s to (4, -2)
turn 1: lower: THROW symbol p to (-4, 2)
turn 2: upper: THROW symbol r to (4, -3)
turn 2: lower: THROW symbol r to (-3, 2)
turn 3: upper: THROW symbol p to (2, -2)
turn 3: lower: THROW symbol s to (-3, 1)
turn 254: upper: SWING from (4, -3) to (3, -1)
turn 254: lower: SLIDE from (3, -2) to (4, -2)
turn 255: upper: SLIDE from (4, -2) to (4, -1)
turn 255: lower: THROW symbol r to (2, -1)
turn 256: upper: SWING from (3, -1) to (4, 0)
turn 256: lower: SLIDE from (4, -2) to (4, -1)
turn 257: upper: SLIDE from (4, 0) to (3, 0)
turn 257: lower: SLIDE from (4, -1) to (3, -1)
turn 258: upper: SWING from (4, -1) to (2, 1)
turn 258: lower: SLIDE from (3, -1) to (4, -1)
turn 259: upper: SLIDE from (3, 0) to (4, 0)
turn 259: lower: SLIDE from (4, -1) to (3, 0)
turn 260: upper: SLIDE from (4, 0) to (3, 0)
turn 260: lower: SLIDE from (3, 0) to (2, 1)
turn 261: upper: SWING from (3, 0) to (1, 1)
turn 261: lower: SLIDE from (2, -1) to (2, 0)
turn 262: upper: SWING from (1, 1) to (2, 2)
turn 262: lower: SLIDE from (2, 0) to (2, 1)
winner: lower
